PRAZO FATAL;DIAS RESTANTES;STATUS;ACAO ESPERADA;PROCESSO;ADVOGADO(S);OAB;TRIBUNAL;ORGAO JULGADOR;RITO;TIPO DE ATO;MATERIA;TEM PRAZO;PRAZO (DIAS);CONTAGEM;DISPONIBILIZADO EM;PUBLICADO EM;CONFIANCA;MOTIVO DA REVISAO;TRECHO DO PRAZO;ID DJEN;LINK;TEOR (RESUMO)
2026-07-16;-11;REVISAO OBRIGATORIA;conferir periodos reconhecidos no acordao e avaliar embargos de declaracao;5003456-78.2025.4.04.7205;Ernesto Zulmir Morestoni / Carlos Oscar Krueger;SC/11666 / SC/27320;TRF4;6ª Turma do Tribunal Regional Federal da 4ª Região;comum;acordao;especial;sim;5;dias uteis;2026-07-08;2026-07-09;0,96;"prazo ja vencido na data em que o relatorio foi gerado; sentenca/acordao sempre passa por advogado";Prazo para embargos de declaração de 5 (cinco) dias úteis;c3d4e5f6g7;https://eproc.trf4.jus.br/eproc2trf4/exemplo3;ACÓRDÃO. Vistos e relatados estes autos, decide a 6ª Turma do Tribunal Regional Federal da 4ª Região, por unanimidade, dar parcial provimento à apelação da parte autora para reconhecer como especial o período de 12/03/1998 a 05/11/2003, nos termos do relatório e votos. Publique-se. Intimem-se. Prazo para embargos de declaração de 5 (cinco) dias úteis.
2026-08-04;8;REVISAO OBRIGATORIA;"analisar sentenca parcialmente procedente e decidir sobre recurso; acompanhar implantacao do beneficio";5002345-67.2026.4.04.7205;Ernesto Zulmir Morestoni;SC/11666;TRF4;2ª Vara Federal de Blumenau;comum;sentenca;pcd;sim;15;dias uteis;2026-07-13;2026-07-14;0,97;sentenca/acordao sempre passa por advogado;prazo recursal de 15 (quinze) dias úteis;b2c3d4e5f6;https://eproc.jfsc.jus.br/eprocV2/exemplo2;SENTENÇA. Ante o exposto, JULGO PARCIALMENTE PROCEDENTE o pedido para reconhecer o direito da parte autora à aposentadoria da pessoa com deficiência de grau moderado, nos termos da LC 142/2013, condenando o INSS à implantação do benefício. Ficam as partes intimadas da sentença, correndo o prazo recursal de 15 (quinze) dias úteis.
2026-08-06;10;OK;emendar a inicial juntando laudo do DETRAN, propriedade do veiculo e requerimento administrativo;0301234-56.2026.8.24.0008;Ernesto Zulmir Morestoni;SC/11666;TJSC;Vara da Fazenda Pública da Comarca de Blumenau;comum;despacho;ipva;sim;15;dias uteis;2026-07-15;2026-07-16;0,92;;no prazo de 15 (quinze) dias;g7h8i9j0k1;https://esaj.tjsc.jus.br/exemplo7;DESPACHO. Emende a parte autora a inicial, no prazo de 15 (quinze) dias, sob pena de indeferimento, a fim de juntar o laudo do DETRAN e comprovante de propriedade do veículo, bem como o requerimento administrativo de isenção de IPVA.
2026-08-10;14;OK;elaborar manifestacao ao laudo pericial medico sobre molestia profissional;5009012-34.2026.4.04.7205;Carlos Oscar Krueger;SC/27320;TRF4;1º JEF de Blumenau;JEF;intimacao_laudo;isencao_ir;sim;10;dias uteis;2026-07-24;2026-07-27;0,94;;no prazo de 10 (dez) dias;j0k1l2m3n4;https://eproc.jfsc.jus.br/eprocV2/exemplo10;Fica a parte autora intimada do laudo pericial médico juntado ao evento 44, podendo manifestar-se no prazo de 10 (dez) dias. Ação declaratória de isenção de imposto de renda por moléstia profissional cumulada com repetição de indébito, ajuizada em face da União Federal.
2026-08-12;16;OK;elaborar manifestacao ao laudo pericial de engenharia (ruido e agentes quimicos);5001234-56.2026.4.04.7205;Ernesto Zulmir Morestoni;SC/11666;TRF4;1º JEF de Blumenau;JEF;intimacao_laudo;especial;sim;15;dias uteis;2026-07-20;2026-07-21;0,95;;no prazo de 15 (quinze) dias úteis;a1b2c3d4e5;https://eproc.jfsc.jus.br/eprocV2/exemplo1;Fica a parte autora intimada do laudo pericial juntado ao evento 58, para, querendo, manifestar-se no prazo de 15 (quinze) dias úteis, nos termos do art. 477, §1º, do CPC. Perícia realizada por engenheiro de segurança do trabalho. Ação de aposentadoria especial com discussão de exposição a ruído e agentes químicos.
2026-08-14;18;OK;elaborar replica a contestacao do INSS e aos documentos do evento 31;5004567-89.2026.4.04.7205;Ernesto Zulmir Morestoni;SC/11666;TRF4;1º JEF de Blumenau;JEF;ato_ordinatorio;rural;sim;15;dias uteis;2026-07-22;2026-07-23;0,93;;no prazo de 15 (quinze) dias;d4e5f6g7h8;https://eproc.jfsc.jus.br/eprocV2/exemplo4;ATO ORDINATÓRIO. Fica a parte autora intimada para se manifestar sobre a contestação e os documentos apresentados pelo INSS no evento 31, no prazo de 15 (quinze) dias. Ação de reconhecimento de tempo rural em regime de economia familiar.
2026-08-19;23;OK;elaborar planilha de calculo atualizada conforme os parametros do titulo;5007890-12.2024.4.04.7205;Ernesto Zulmir Morestoni;SC/11666;TRF4;1º JEF de Blumenau;JEF;cumprimento_sentenca;outro;sim;30;dias uteis;2026-07-06;2026-07-07;0,88;;no prazo de 30 (trinta) dias;h8i9j0k1l2;https://eproc.jfsc.jus.br/eprocV2/exemplo8;Cumprimento de sentença. Fica a parte exequente intimada para apresentar planilha de cálculo atualizada dos valores devidos, no prazo de 30 (trinta) dias, observados os parâmetros fixados no título executivo judicial.
;;REVISAR;EXCECAO - pauta de pericia: avisar o cliente da pericia de 14/08/2026 as 14h30 e conferir documentos;5005678-90.2026.4.04.7205;Ernesto Zulmir Morestoni;SC/11666;TRF4;1º JEF de Blumenau;JEF;intimacao_pericia;outro;nao;;dias uteis;2026-07-17;2026-07-20;0,90;classificada como sem prazo - conferir para nao sumir;;e5f6g7h8i9;https://eproc.jfsc.jus.br/eprocV2/exemplo5;Fica a parte autora intimada da designação de perícia médica para o dia 14/08/2026, às 14h30min, na Clínica Pericial de Blumenau, Rua XV de Novembro, nº 1200, devendo comparecer munida de documento de identificação com foto e de todos os exames e laudos médicos de que dispuser.
;;REVISAR;EXCECAO - publicacao sem teor: abrir o processo no e-Proc e ler o evento 42 para saber se ha prazo;5006789-01.2026.4.04.7205;Ernesto Zulmir Morestoni;SC/11666;TRF4;2ª Vara Federal de Blumenau;comum;outro;outro;nao;;dias uteis;2026-07-23;2026-07-24;0,30;confianca 0.30 abaixo de 0.85;;f6g7h8i9j0;https://eproc.jfsc.jus.br/eprocV2/exemplo6;Fica a parte autora intimada do inteiro teor do despacho do evento 42.
;;REVISAR;conferir se a obrigacao foi mesmo satisfeita e encerrar a pasta do cliente;5008901-23.2023.4.04.7205;Ernesto Zulmir Morestoni;SC/11666;TRF4;2ª Vara Federal de Blumenau;comum;arquivamento;outro;nao;;dias uteis;2026-06-30;2026-07-01;0,90;classificada como sem prazo - conferir para nao sumir;;i9j0k1l2m3;https://eproc.jfsc.jus.br/eprocV2/exemplo9;Certifico que, cumpridas todas as determinações e satisfeita a obrigação, os autos foram remetidos ao arquivo findo. Ficam as partes intimadas do arquivamento definitivo do feito.
;;REVISAR;EXCECAO - pauta de audiencia: preparar cliente e testemunhas para 03/09/2026 as 09h por videoconferencia;5010123-45.2026.4.04.7205;Carlos Oscar Krueger;SC/27320;TRF4;1º JEF de Blumenau;JEF;audiencia;rural;nao;;dias uteis;2026-07-21;2026-07-22;0,93;classificada como sem prazo - conferir para nao sumir;;k1l2m3n4o5;https://eproc.jfsc.jus.br/eprocV2/exemplo11;Fica a parte autora intimada da designação de audiência de instrução e julgamento para o dia 03/09/2026, às 09h00min, por videoconferência, devendo comparecer acompanhada de suas testemunhas, independentemente de intimação, para comprovação do labor rural em regime de economia familiar.
